design_name,width_mm,height_mm,price_gbp,helions_sku,photo_url
Finchingfield,2500,2000,3519.33,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,2500,2200,3664.62,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,3000,1600,3374.03,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,3000,1800,3519.33,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,3000,2000,3664.62,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,3000,2200,3809.91,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,3500,1600,3519.33,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,3500,1800,3664.62,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,3500,2000,3809.91,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,3500,2200,3664.62,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,4000,1600,3809.91,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,4000,1800,3955.21,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,4000,2000,4100.5,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,4000,2200,4245.79,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,4500,1600,3955.21,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,4500,1800,4100.5,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
Finchingfield,4500,2000,4245.79,HF016DG,https://helionsforge.com/wp-content/uploads/2025/12/Surrey-Iron-Driveway-Gates.png
